key	depth_1	frequency_1	depth_2	frequency_2
chr20:8189108-8189108	65	0.4769	15	0.3333
chr20:7131647-7131647	19	0.0000	27	0.0370
chr20:7823169-7823169	13	0.3077	21	0.2381
chr20:7544146-7544146	61	0.1311	11	0.0909
chr20:6200249-6200249	51	0.0784	22	0.0455
chr20:6805776-6805776	24	0.0000	23	0.0000
chr20:6161738-6161738	46	0.5435	21	0.1429
chr20:8572878-8572878	56	0.0000	14	0.0000
chr20:9315659-9315659	18	1.0000	17	0.9412
chr20:6087877-6087877	57	0.8947	15	0.8667
chr20:8017007-8017007	58	0.8793	24	0.9583
chr20:7906097-7906097	36	0.1111	19	0.1053
chr20:7295335-7295335	59	0.0339	21	0.0476
chr20:6594331-6594331	40	0.3250	18	0.5000
chr20:9200372-9200372	48	0.8333	21	0.9524
chr20:7118120-7118120	7	0.4286	13	0.4615
chr20:9955140-9955140	50	0.9600	22	0.9091
chr20:8409618-8409618	29	0.7241	25	0.8000
chr20:9943283-9943283	13	0.5385	15	0.2000
chr20:6102111-6102111	27	0.2963	25	0.1600
chr20:7826616-7826616	8	0.3750	8	0.3750
chr20:6011804-6011804	14	1.0000	23	0.8696
chr20:6062307-6062307	42	0.4762	11	0.7273
chr20:8038850-8038850	53	0.4717	20	0.4500
chr20:9033510-9033510	42	0.2143	13	0.0769
chr20:7947649-7947649	30	0.2667	13	0.2308
chr20:9603776-9603776	41	0.6585	14	0.3571
chr20:8771399-8771399	51	0.6863	23	0.6522
chr20:6745166-6745166	51	0.8627	15	0.5333
chr20:7641542-7641542	27	0.8148	11	0.7273
chr20:8429961-8429961	64	0.9062	24	0.8750
chr20:6402705-6402705	28	0.0000	16	0.0000
chr20:6093730-6093730	28	0.0357	19	0.0000
chr20:8140702-8140702	37	0.2162	13	0.6154
chr20:9822025-9822025	37	0.6486	23	0.6087
chr20:9560557-9560557	26	0.5385	8	0.7500
chr20:8727600-8727600	36	0.3333	14	0.8571
chr20:6240215-6240215	28	0.8571	12	1.0000
chr20:9881845-9881845	54	0.0000	10	0.1000
chr20:9058350-9058350	28	0.1786	12	0.2500
chr20:8513699-8513699	22	0.0455	14	0.2143
chr20:6398268-6398268	29	0.5172	13	0.4615
chr20:9660525-9660525	26	0.0769	15	0.0667
